Match,venue,time,toss-win,bat_first,won
csk vs kkr,dubai,night,kkr,csk,csk
kkr vs dc,sharjah,night,kkr,dc,kkr
rcb vs kkr,sharjah,night,rcb,rcb,kkr
dc vs csk,dubai,night,csk,dc,csk
rcb vs dc,dubai,night,rcb,dc,rcb
srh vs mi,abu dhabi,night,mi,mi,mi
kkr vs rr,sharjah,night,rr,kkr,kkr
csk vs pbks,dubai,day,pbks,csk,pbks
rcb vs srh,abu dhabi,night,rcb,srh,srh
rr vs mi,sharjah,night,mi,rr,mi
dc vs csk,dubai,night,dc,csk,dc
kkr vs srh,dubai,night,srh,srh,kkr
rcb vs pbks,sharjah,day,rcb,rcb,rcb
rr vs csk,abu dhabi,night,rr,csk,rr
mi vs dc,sharjah,day,dc,mi,dc
kkr vs pbks,dubai,night,pbks,kkr,pbks
srh vs csk,sharjah,night,csk,srh,csk
rr vs rcb,dubai,night,rcb,rr,rcb
mi vs pbks,abu dhabi,night,mi,pbks,mi
kkr vs dc,sharjah,day,kkr,dc,kkr
srh vs rr,dubai,night,rr,rr,srh
rcb vs mi,dubai,night,mi,rcb,rcb
csk vs kkr,abu dhabi,day,kkr,kkr,csk
srh vs pbks,sharjah,night,srh,pbks,pbks
dc vs rr,abu dhabi,day,rr,dc,dc
rcb vs csk,sharjah,night,csk,rcb,csk
mi vs kkr,abu dhabi,night,kkr,mi,kkr
dc vs srh,dubai,night,srh,srh,dc
pbks vs rr,dubai,night,pbks,rr,rr
kkr vs rcb,abu dhabi,night,rcb,rcb,kkr
csk vs mi,dubai,night,csk,csk,csk
